DAM_ID,GRAND_ID,NABD_ID,DAM_NAME,PNNL_DAM_ID,STATE,AGENCY_CODE,LONG,LAT,TIME_SERIES_START,TIME_SERIES_END,NORMAL_STORAGE.MCM.,MAXIMUM_STORAGE,STORAGE,DAM_HEIGHT,ELEV_MASL,S_RATIO,i_MAF_MCM,MAIN_USE,P_FLC,P_NAV,P_HYD,P_SUP,P_IRR,P_REC,P_FSH,UPST_DAMS_N,UPST_DAMS_CAP,YEAR_CREATED,norm_Stor,Max_stor,join_OBJECTID,join_TNMID,join_MetaSource,join_SourceData,join_SourceOrig,join_SourceFeat,join_LoadDate,join_AreaSqKm,join_AreaAcres,join_GNIS_ID,join_Name,join_States,join_HUC2,join_Shape_Leng,join_Shape_Area,join_layer,join_path,join_HUC2_db,join_Prior_purp,distance,,
1902,1902,AL01423,Jordan,NA,Alabama,NA,-86.256528,32.620036,NA,NA,289.9,289.9,289.9,6,61,0.019359589,14974.49145,Hydroelectricity,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,27,9251.7,1928,289.9,289.9,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1904,1904,AL01423,Walter Bouldin,NA,Alabama,NA,-86.285435,32.58559,NA,NA,289.9,289.9,289.9,15,75,13.85577173,20.9226888,Hydroelectricity,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,27,9251.7,1967,289.9,289.9,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1888,1888,AL01137,Lake Tuscaloosa Dam,NA,Alabama,NA,-87.507011,33.265987,NA,NA,222,222,222,4,57,0.379969509,584.2574064,Water supply,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,26,9178.3,1971,222,222,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1899,1899,AL01424,Mitchell,NA,Alabama,NA,-86.444792,32.807471,NA,NA,212.2,212.2,212.2,7,91,0.014628347,14506.08199,Hydroelectricity,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,19,8272,1923,212.2,212.2,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1915,1915,AL00017,Big Creek Lake,NA,Alabama,NA,-88.33551,30.714731,NA,NA,168.4,168.4,168.4,7,33,1.597686823,105.402384,Water supply,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3,261.4,1952,168.4,168.4,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1870,1870,AL01416,H. Neely Henry,NA,Alabama,NA,-86.056267,33.785434,NA,NA,149,149,149,21,153,0.014972238,9951.752275,Hydroelectricity,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,10,2596.9,1966,149,149,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1843,1843,AL05902,Cedar Creek,NA,Alabama,TVA,-87.972741,34.54375,NA,NA,130.4,130.4,130.4,21,175,0.503181521,259.1510112,Flood control,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,472,198962.3707,1978,130.4,130.4,1,{142390F9-84A3-42CF-A41C-ED4F0EB4E6FC},,,,,8/1/17,105949.07,26180561.97,2730136,Tennessee Region,"AL,GA,KY,MS,NC,SC,TN,VA,WV",6,34.53241107,10.53770723,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-5/WBDHU2.shp,6,Flood control,0,,
1846,1846,AL05903,Little Bear Creek,NA,Alabama,NA,-87.972917,34.452307,NA,NA,51.1,51.1,51.1,16,192,0.572784325,89.2133352,Flood control,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,35,18108.4,1975,51.1,51.1,1,{142390F9-84A3-42CF-A41C-ED4F0EB4E6FC},,,,,8/1/17,105949.07,26180561.97,2730136,Tennessee Region,"AL,GA,KY,MS,NC,SC,TN,VA,WV",6,34.53241107,10.53770723,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-5/WBDHU2.shp,6,Flood control,0,,
1855,1855,AL09301,Upper Bear Creek,NA,Alabama,TVA,-87.692356,34.27409,NA,NA,45.1,45.1,45.1,20,241,0.308734664,146.0801304,Flood control,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,15683,1978,45.1,45.1,1,{142390F9-84A3-42CF-A41C-ED4F0EB4E6FC},,,,,8/1/17,105949.07,26180561.97,2730136,Tennessee Region,"AL,GA,KY,MS,NC,SC,TN,VA,WV",6,34.53241107,10.53770723,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-5/WBDHU2.shp,6,Flood control,0,,
1878,1878,AL01311,Lake Purdy Dam,NA,Alabama,NA,-86.667015,33.459038,NA,NA,32.6,32.6,32.6,16,187,0.499531752,65.2611168,Water supply,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10,2596.9,1964,32.6,32.6,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1859,1859,AL00977,Lake Catoma Dam,NA,Alabama,NA,-86.805208,34.193191,NA,NA,26.4,26.4,26.4,43,230,0.583786126,45.2220408,Water supply,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,7,2397.8,1966,26.4,26.4,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1905,1905,AL01422,Thurlow,NA,Alabama,NA,-85.885681,32.536051,NA,NA,22.5,22.5,22.5,15,87,0.00493089,4563.071172,Hydroelectricity,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,23,8559.6,1900,22.5,22.5,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1912,1912,AL00665,Lake Tholocco,NA,Alabama,NA,-85.719012,31.385648,NA,NA,21.7,21.7,21.7,20,64,0.206620044,105.0236928,Recreation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,21.7,1935,21.7,21.7,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1911,1911,AL01414,Gantt,NA,Alabama,NA,-86.478011,31.406467,NA,NA,18.1,18.1,18.1,12,66,0.020709673,873.987732,Hydroelectricity,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,18.1,1924,18.1,18.1,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1875,1875,AL01256,Bayview Lake,NA,Alabama,NA,-86.987236,33.572007,NA,NA,17.5,17.5,17.5,13,162,0.166129879,105.3392688,Water supply,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14,7790.8,1910,17.5,17.5,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1887,1887,AL01111,Lake Nicol Dam,NA,Alabama,NA,-87.482773,33.290933,NA,NA,12.8,12.8,12.8,5,97,0.374522183,34.1768808,Water supply,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26,9178.3,1954,12.8,12.8,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1874,1874,AL01509,Miller Steam Plant Ash Pond,NA,Alabama,NA,-87.058763,33.604037,NA,NA,11.7,11.7,11.7,52,131,41.19451416,0.2840184,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,8259.2,1977,11.7,11.7,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
597,597,AZ10307,Glen Canyon,usbr_lakepowell,Arizona,BOR,-111.485228,36.939635,3/11/63,12/18/18,25070,25070,25070,223,1131,1.967229436,12516.8675,Hydroelectricity,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,66,11955.19991,1963,25070,25070,1,{55B52F2D-76B0-44EA-8BE7-B371E86617AC},,,,,9/19/17,293569.02,72542421.28,2730145,Upper Colorado Region,"AZ,CO,NM,UT,WY",14,44.60993116,30.61294096,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-13/WBDHU2.shp,14,Hydroelectric,0,,
616,616,AZ10309,Davis Bor,usgs_9422500,Arizona,BOR,-114.572791,35.20227,1/8/50,12/18/18,2242.9,2242.9,2242.9,98,197,0.174195634,17153.21377,Hydroelectricity,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,72,73846.69991,1952,2242.9,2242.9,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
647,647,AZ10317,Theodore Roosevelt,NA,Arizona,NA,-111.156236,33.677097,NA,NA,1641.8,1641.8,1641.8,69,629,38.31038481,42.8552208,Irrigation,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,6,1457.6,1911,1641.8,1641.8,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
656,656,AZ10436,Coolidge,NA,Arizona,NA,-110.522895,33.176265,NA,NA,1323.5,1323.5,1323.5,55,750,12.31332479,107.4851856,Irrigation,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,5,1711.7,1929,1323.5,1323.5,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
7307,7307,AZ82929,New Waddell Dam,NA,Arizona,NA,-112.273803,33.849176,NA,NA,1311.4,0,1311.4,NA,NA,NA,NA,Water Supply,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,1992,1311.4,0,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
629,629,AZ10312,Parker,usgs_9427500,Arizona,BOR,-114.138725,34.29867,10/1/38,12/18/18,803,803,803,80,144,0.063873963,10170.7535,Water supply,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,83,80737.89991,1938,803,803,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
650,650,AZ10311,Horse Mesa,NA,Arizona,NA,-111.343282,33.591111,NA,NA,302.3,302.3,302.3,29,599,7.180891264,42.0978384,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,3783.5,1926,302.3,302.3,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
644,644,AZ10308,Bartlett,usgs_9509502,Arizona,USGS,-111.629844,33.817207,1/1/80,9/1/18,219.6,219.6,219.6,18,543,4.217396415,488.9502647,Water supply,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,12,3939.8,1938,219.6,219.6,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
640,640,AZ10310,Horseshoe,usgs_9509501,Arizona,USGS,-111.710417,33.985427,1/1/80,9/1/18,162.2,162.2,162.2,68,603,3.052142425,444.1847241,Water supply,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,9,3563.9,1945,162.2,162.2,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
652,652,AZ10318,Stewart Mountain,NA,Arizona,NA,-111.532292,33.569649,NA,NA,84.9,84.9,84.9,72,469,2.155704051,39.3838848,Irrigation,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,12,3939.8,1929,84.9,84.9,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
653,653,AZ10313,Mormon Flat,NA,Arizona,NA,-111.439583,33.550863,NA,NA,71.4,71.4,71.4,61,527,1.752540256,40.7408616,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,3854.9,1924,71.4,71.4,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
627,627,AZ00004,Lyman,usgs_9384600,Arizona,USGS,-109.380173,34.368424,1/1/80,9/1/18,54.9,54.9,54.9,59,1826,29.99441416,-3.266,Irrigation,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,111.9,1912,54.9,54.9,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
617,617,AZ00016,Upper Lake Mary,NA,Arizona,NA,-111.533878,35.07962,NA,NA,26,26,26,56,2089,45.7716824,0.5680368,Water supply,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57,10260.39991,1941,26,26,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
618,618,AZ00179,Cholla Fly Ash Pond,NA,Arizona,NA,-110.292872,34.932666,NA,NA,22.2,22.2,22.2,58,1529,0.235512404,94.2625512,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,11948.09991,1978,22.2,22.2,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
623,623,AZ00021,Blue Ridge,NA,Arizona,NA,-111.186458,34.552889,NA,NA,18.5,18.5,18.5,51,2072,22.54729325,0.8204976,Hydroelectricity,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,48,5505.099906,1964,18.5,18.5,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
641,641,AZ00061,Big Lake,NA,Arizona,NA,-109.416534,33.88768,NA,NA,12.5,12.5,12.5,46,2741,396.1010977,0.0315576,Recreation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,12.5,1964,12.5,12.5,1,{5A8D623A-5571-4976-A98E-019A7A94E228},,,,,5/14/18,424356.93,104860787.9,2730146,Lower Colorado Region,"AZ,CA,MX,NM,NV,UT",15,59.13912134,41.43242667,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-14/WBDHU2.shp,15,Water supply,0,,
1036,1036,AR00160,Bull Shoals,NA,Arkansas,ACE_LIT,-92.572917,36.365385,NA,NA,6670.7,6670.7,6670.7,60,207,1.173977692,5682.135226,Flood control,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,78,32643.8,1951,6670.7,6670.7,1,{3F461CFD-F4C2-4905-8E79-E6B5F4F45DAE},,,,,10/15/17,642212.47,158694016,2730142,Arkansas-White-Red Region,"AR,CO,KS,LA,MO,NM,OK,TX",11,71.57625707,64.29266974,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-10/WBDHU2.shp,11,Flood control,0,,
